,,0
36,68,22.28875688376211
36,70,24.188143853543874
36,72,24.1710743795763
36,74,24.15400490560873
36,76,24.136935431641156
36,78,24.119865957673582
36,80,24.102796483706
36,82,24.085727009738424
36,84,24.06865753577085
36,86,24.05158806180328
36,88,24.034518587835706
36,90,24.017449113868125
36,92,24.000379639900547
36,94,23.983310165932973
38,10,28.982072464320517
38,12,27.913762520634716
38,14,27.804823609881694
38,16,27.69588469912868
38,18,27.58694578837566
38,20,27.478006877622647
38,22,27.369067966869622
38,24,27.260129056116604
38,26,27.151190145363586
38,28,27.04225123461057
38,30,26.80283014232476
38,32,26.631501713912765
38,34,26.460173285500773
38,36,26.288844857088776
38,38,26.11751642867678
38,40,25.840179246065766
38,42,25.735338771821382
38,44,25.630498297577
38,46,25.525657823332615
38,48,25.42081734908824
38,50,25.036828910626706
38,52,24.97361429469703
38,54,24.91039967876736
38,56,24.84718506283768
38,58,24.78397044690801
38,60,25.177108981507885
38,62,25.131392697204298
38,64,25.08567641290071
38,66,25.039960128597123
38,68,24.994243844293525
38,70,26.79366307882362
38,72,26.777491998222764
38,74,26.7613209176219
38,76,26.745149837021042
38,78,26.728978756420176
38,80,26.712807675819317
38,82,26.696636595218457
38,84,26.680465514617595
38,86,26.66429443401674
38,88,26.648123353415876
38,90,26.631952272815017
38,92,26.615781192214154
40,10,30.761857261192855
40,12,30.37500315755034
40,14,30.347469626136807
40,16,30.31993609472329
40,18,30.29240256330976
40,20,30.264869031896236
40,22,30.237335500482708
40,24,30.209801969069183
40,26,30.182268437655658
40,28,30.15473490624213
40,30,29.319343860207127
40,32,29.282194799522227
40,34,29.245045738837327
40,36,29.207896678152434
40,38,29.17074761746753
